ChemicalID	CC1_Meta_CO_P	CC2_Meta_CO_P	CC3_Meta_CO_P	CCI_Meta_CO_D	CC2_Meta_CO_D	CC3_Meta_CO_D	CRB3_Meta_CO_P	CRB2_Meta_CO_D	CRB3_Meta_CO_D	CFRB2_Meta_CO_P	CFRB2_Meta_CO_D	AOMC4_Meta_CO_P	AOMC5_Meta_CO_P	AOMC6_Meta_CO_P	AOMC7_Meta_CO_P	AOMC8_Meta_CO_P	AOMC9_Meta_CO_P	AOMC10_Meta_CO_P	AOMC11_Meta_CO_P	AOMC12_Meta_CO_P	AOMC13_Meta_CO_P	AOMC4_Meta_CO_D	AOMC5_Meta_CO_D	AOMC6_Meta_CO_D	AOMC7_Meta_CO_D	AOMC8_Meta_CO_D	AOMC9_Meta_CO_D	AOMC10_Meta_CO_D	AOMC11_Meta_CO_D	AOMC12_Meta_CO_D	AOMC13_Meta_CO_D	AOMRB6_Meta_CO_P	AOMRB7_Meta_CO_P	AOMRB8_Meta_CO_P	AOMRB9_Meta_CO_P	AOMRB10_Meta_CO_P	AOMRB11_Meta_CO_P	AOMRB12_Meta_CO_P	AOMRB13_Meta_CO_P	AOMRB14_Meta_CO_P	AOMRB15_Meta_CO_P	AOMRB6_Meta_CO_D	AOMRB7_Meta_CO_D	AOMRB8_Meta_CO_D	AOMRB9_Meta_CO_D	AOMRB10_Meta_CO_D	AOMRB11_Meta_CO_D	AOMRB12_Meta_CO_D	AOMRB13_Meta_CO_D	AOMRB14_Meta_CO_D	AOMRB15_Meta_CO_D	AOMFRB2_Meta_CO_P	AOMFRB3_Meta_CO_P	AOMFRB4_Meta_CO_P	AOMFRB5_Meta_CO_P	AOMFRB6_Meta_CO_P	AOMFRB7_Meta_CO_P	AOMFRB8_Meta_CO_P	AOMFRB9_Meta_CO_P	AOMFRB10_Meta_CO_P	AOMFRB11_Meta_CO_P	AOMFRB2_Meta_CO_D	AOMFRB3_Meta_CO_D	AOMFRB4_Meta_CO_D	AOMFRB5_Meta_CO_D	AOMFRB6_Meta_CO_D	AOMFRB7_Meta_CO_D	AOMFRB8_Meta_CO_D	AOMFRB9_Meta_CO_D	AOMFRB10_Meta_CO_D	AOMFRB11_Meta_CO_D
100020723	158567	146034	0	63363	0	0	127657	0	0	158923	12318	131815	115571	107461	159542	62586	76077	43920	89927	30127	53887	0	0	19300	0	23284	0	0	26108	0	50989	0	154410	86128	134323	116171	56070	93714	123382	103720	187259	154793	0	31212	0	0	0	0	0	0	0	140463	43467	96462	77401	118391	110825	209363	178757	103742	51372	0	0	0	0	0	0	0	0	0	0
100009060	306252	501548	0	250873	0	0	423172	0	0	571767	34053	559752	514515	482163	621082	267511	216474	234423	353077	172704	178105	0	0	182662	0	504690	0	0	88304	0	249652	59523	390293	382953	450297	317924	183712	543398	407972	349643	698658	441537	0	102995	0	0	0	0	0	0	0	385869	162398	252513	280104	259440	308222	410905	566116	254219	197458	0	0	0	0	0	0	54974	0	0	0
100020728	22119	38708	0	28267	0	0	25115	0	0	42476	0	28453	28259	24039	41621	15458	0	0	18884	0	0	0	0	0	0	122549	0	0	0	0	12999	0	54817	20195	32072	0	21204	0	24378	21303	45464	26419	0	0	0	0	0	0	0	0	0	34264	0	0	10936	0	14674	0	35378	0	0	0	0	0	0	0	0	0	0	0	0
100009064	80624	105205	0	66397	0	0	38122	0	0	82397	0	85581	114275	109145	160571	26684	40336	43296	45264	34571	0	0	0	0	0	69734	0	0	0	0	62497	0	76051	58680	61870	0	0	94438	60991	52257	109592	81039	0	0	0	0	0	0	0	0	0	48655	0	27445	51782	45339	43526	62907	60291	22244	0	0	0	0	0	0	0	0	0	0	0
100009056	40732	65444	0	31133	0	0	31535	0	0	51646	0	41731	48871	48764	92328	18150	0	0	29666	18692	18021	0	0	0	0	64626	0	0	0	0	24032	0	47718	24683	33285	29338	19847	61740	42591	30703	69292	59370	0	0	0	0	0	0	0	0	0	35771	0	0	23108	23615	26063	61209	47943	0	0	0	0	0	0	0	0	0	0	0	0
100020729	62454	101476	0	77594	0	0	29529	0	0	86739	0	110600	127508	122445	203205	33542	0	39069	30053	37791	0	0	0	0	0	0	0	0	0	0	40867	0	125743	66113	55488	49402	39163	74002	46370	40774	75083	87930	0	0	0	0	0	0	0	0	0	76444	0	37620	23960	39367	42777	96311	50677	0	0	0	0	0	0	0	0	0	0	0	0
100009058	70793	97428	0	29834	0	0	42296	0	0	87027	0	94579	77430	88236	168990	31899	40037	24720	40622	36259	42063	0	0	17342	0	53511	0	0	0	0	51295	0	190394	58492	68434	55570	67874	99531	70917	50685	104926	124278	0	0	0	0	0	0	0	0	0	82353	0	26347	46000	67676	52417	130933	88416	29269	0	0	0	0	0	0	0	0	0	0	0
100016038	285760	147544	0	147154	57293	0	216023	0	0	417303	804622	138463	205757	240910	210890	212918	107919	284526	220169	170603	226840	0	142478	92735	0	195956	228074	217070	560554	0	182312	354047	399990	157308	139488	312428	552123	304019	319079	196058	352775	462492	572566	227668	340629	88061	144652	107055	272314	87027	486263	263362	315757	278102	153714	216049	174344	757661	286071	359732	270187	0	0	0	76288	177260	71853	223134	370482	0	97889
100008903	9218803	11682474	9876168	12769829	8749473	9557634	13729132	7840256	11551823	8554014	4628636	11302588	8251545	11663331	9862763	12206609	11559305	9128041	14632753	7028896	10471060	5055443	6099179	9933594	9776040	10459415	9005741	7109380	12097681	8125926	7059389	5044363	8555452	16423219	11183786	10526852	9125853	15793393	17487440	11625878	10139141	8316025	6984411	9220868	10829598	6182360	14375026	10643103	10817848	10780305	10582644	14153845	16620362	11863749	10667870	12925278	14467115	12560083	22442146	21401562	6019016	11989737	7275856	4021398	10890658	8996077	10264551	14183104	14357372	14337986	4695202
100000657	48546992	54301940	102886432	61919112	71741824	91947248	63723548	75670608	100059120	40178576	41145040	66866364	48695660	60874820	68587088	53844552	61618612	46633788	61900868	59144260	50746388	63147648	57708292	84725944	113620448	97216616	81479024	57973096	82982272	80672056	59326780	53729772	47960684	76285696	47631888	61600116	57522292	76092464	68414712	51620800	60127648	56764660	65536656	82397840	99873016	69245456	123790520	118960368	76159928	94501760	91412440	66264844	97705408	68184176	47007072	95129384	78968832	64642756	90833400	80003168	51650672	94096784	103982728	40593192	108478224	68500896	89341672	98342808	86660400	98227568	71854736
100000580	2130220	2549502	1347181	4286772	4568707	2914061	5156142	1911713	4239589	3166445	2750755	1295386	1356594	1169646	2644573	2568695	4568384	1200649	5867592	1523455	2945422	864865	2052856	1261522	3774406	2213175	5594951	1737362	5024765	605886	2760482	2370342	2340079	1784102	4507619	985743	2713138	2066320	2879335	2407534	6899664	1301053	2886034	2874138	2709767	1081176	4432959	2492765	3546749	1540855	5271828	1183079	2011284	2187669	2774976	1025216	2530010	2026623	4677532	2497898	1919592	1270203	1026919	1322372	2075174	1652009	3413476	1742788	4135281	3525739	1575722
100005372	11994321	11879932	49109712	18689948	64462304	38865580	10344823	46952240	30205962	9055600	24906388	11888672	9255808	10721655	9490444	9348394	11810662	6629903	13180368	8018260	10000974	34465064	42482432	56563556	41812624	46369712	32438680	19246380	32659384	23785130	33248954	26583308	15760134	8982698	9801532	14777944	11767993	11421456	12228394	10884900	18272404	8327601	49183268	32349568	33075428	45323492	48221996	18074536	42314616	30827876	50455236	6142887	10485638	6109404	9719478	8961119	8974560	5995652	17876668	12330185	7473043	19458906	16329299	13005150	26952374	18251308	30077002	23125334	45701172	37352720	21089656
100009014	15430298	12825523	36789064	22477712	39726680	35648948	15708938	28692952	29815194	11669071	24659652	18677380	12462507	19918556	15667628	15999860	15374428	13610572	15725365	15129395	15593897	29175122	32394464	47613436	48982080	35848948	34492104	20601658	29655586	24560610	23670436	28658460	15245166	23658386	15259740	19983360	15497875	21404220	21860734	18334622	21149588	15886737	38960980	27946056	36273756	41596880	45816832	20021988	35260372	42811912	43575496	15034906	23094690	22188240	12272721	24714490	15993696	16573143	23159264	22338808	11925016	20917848	17880454	24323824	24072184	32896194	29650090	44310080	32383572	34856988	20407084
100009002	17315680	19867504	43072896	24333878	34647784	41559900	22567100	28168406	41250844	15694756	14329964	20977388	16224134	22624600	19572896	17372966	21004646	15153413	20593326	16876302	18235368	23772418	24532408	34698096	39332396	29096286	25209504	18310524	27574532	29912932	23208268	17023270	18072514	29049260	17805500	20921214	18771034	28868542	24738184	19252404	23271654	19124644	24769504	23507756	35239812	29032250	47909552	35714636	26225678	34206560	35364988	19091416	34986644	19946488	19130844	35569904	24495974	24635298	35491960	29995894	20484622	33721360	34937584	13115404	31136968	26184912	29124918	32630392	32416966	37968452	29915674
100009009	4709631	5014108	4339679	12182750	4495204	0	7488451	0	3015998	4265972	2118554	5728074	3258754	7437393	4438484	6299536	5537366	5210816	6994065	3562566	4890223	1962351	2471346	4433568	4735268	4334629	3693099	1962808	3089963	2837441	1620729	2003386	5225341	10458502	6311613	6993459	4413386	10271713	9560662	7928096	6380098	3579128	3587685	2697685	3366477	2711877	5232951	2405179	4195247	3707436	3453696	5393122	8445343	7010816	4449066	8493379	6882846	4095583	11096252	13566745	4037310	2805515	1510710	1677103	1841005	3641418	2966595	5333642	3467069	4184444	2448662
100009069	1217314	1574812	2694961	2192703	2032748	2305013	1526842	1980631	2618815	1272914	757358	1214611	958561	1497180	967397	1415657	1259278	1452058	1525449	907235	1175954	1133370	1175937	2133857	1797023	1912406	1638393	1239372	1383915	1673226	1003728	901198	1187386	2572807	1528665	1293294	1112537	2099803	1984763	1529257	1427786	977636	1376335	1270062	2135643	1380944	2504917	2232450	1372485	2251837	1804639	1120835	2247544	1172147	1579078	2214821	1624161	1459392	2651942	2518438	1364965	2721552	1676210	692868	1774692	1858448	1529850	2282089	1644336	2439892	1706555
100009007	4079830	4797469	14260325	9152725	15640009	12175553	7812022	9653348	12959912	3790877	6338442	4513673	3393109	5644266	4455974	5128447	5078827	3415369	5390044	2511946	3916990	5303281	8198628	15257544	15799044	11458567	11868433	4951080	9270795	6671865	6822920	6425222	5228925	9861958	5545622	5521656	4041886	7772160	8695133	5850020	6367261	3611229	12424857	9401341	14467289	10209976	21138736	7710314	16375226	13981099	16350284	4307824	9442314	6117082	5064331	9726181	5997840	5206705	11502553	10597810	4859782	8266236	6482797	4737833	7608607	11446001	10143636	19054204	12609994	14187152	9369885
100009005	5341174	6978362	17069302	8742527	12970193	16952110	6284961	10390335	15460835	5165749	6388311	5829888	4801522	6692354	4994939	6806401	6538054	6072892	6672668	3040503	4262471	6659279	8275472	14266302	13700849	12820209	9804196	6091597	9820457	8525146	6962331	6243632	6119038	12981890	6561587	6356168	5015527	8910527	8524924	6684503	8960130	5645984	10326449	9896789	13575391	9684314	20294704	14232089	10694085	14950196	13726909	5164774	10861189	6056195	7149528	12920975	7389121	8121548	12355884	11352903	7826699	15100625	10693426	4131349	10518384	12553149	9210765	16071776	10140407	15654301	11620893
100009160	334049	919323	3413462	1262708	3946773	3110937	1336359	3193815	3178600	634153	1697020	0	545182	1022712	674961	953961	923006	586119	885195	185899	564646	1496179	2284922	4303615	3392195	3558787	3046405	1390517	2558949	2195841	1648784	1947466	748210	1165199	973738	728815	655487	1265831	1064272	780467	1005569	399301	2794115	2596679	3201433	2341418	3986481	2178018	2545303	2978462	3010225	373197	1202593	546970	799916	1650219	957804	0	1453936	994706	854946	2342126	1744108	1256526	2060942	3624182	2406795	4425125	3474854	3617013	1538422
100009162	1750992	1946415	5806518	3146069	6257554	5417152	3078442	3215872	5247221	1512336	2183649	1817889	1576810	2127888	2114298	1968956	1851722	1481901	2394274	1662754	1853091	2050649	3536213	5266165	6821255	4257515	5063485	1617934	4088459	2868597	2212779	1967834	1738723	4435638	2002851	2142116	1855163	3687433	3349214	2192468	3173758	1473264	4115236	3380290	5393765	3805055	9724578	4691155	4768444	5034514	5831949	1946429	5304088	2329553	1880172	4799091	3118381	1627313	5430239	4275236	1726849	3570309	2880063	1745570	3442071	4522875	3668597	7406733	5067179	5492283	2952402
