ChemicalID	CC_4	CC_5	CRB_4	CRB_5	CFRB_3	CFRB_4	AOMC_16	AOMC_17	AOMC_18	AOMC_19	RB_2	RB_3	RB_4	RB_14	RB_15	RB_16	RB_17	RB_18	RB_19	RB_20	FRB_2	FRB_3	FRB_4	FRB_6	FRB_7	FRB_8	FRB_9	FRB_16	FRB_17	FRB_18
100016038	350313	532546	264878	291822	212000	151414	508279	247096	317602	111261	223900	302090	161314	245033	182969	1432689	331006	542997	79492	180850	484326	284731	154150	197459	148343	312181	259713	908940	154262	272331
100006374	241270	77019	863156	937653	382245	354349	59932	65622	113944	493800	10773003	97726	202634	554726	315165	42441	385026	383580	37732	267891	32159	71537	218960	748274	137523	790845	549880	366531	261972	195108
100008903	112796016	51641968	94798408	81221864	58003100	59117928	60316904	69072520	50741392	65388788	77747392	58058192	69422896	70422376	48751536	58183240	77098704	48975900	50708060	31862972	79232136	73818080	55872188	83390848	75017344	68294624	69556376	65369708	53822284	66416992
100009217	3825266	5003711	3751464	1941647	2104044	2734915	4375342	3508008	3354275	4532426	1958530	1775853	3354870	2917690	2534362	2225265	3249974	2513002	2434412	2305886	2163776	2653385	2602647	2427728	3697442	3118468	3101643	2362114	2602174	2474299
100008905	52701416	30570860	47066368	44068768	38235032	33991260	38430068	38670040	23584836	27443338	27023214	41180320	31956562	27650990	31650224	51126924	45621880	48528820	54960336	37547988	39164628	27991370	34404756	37526928	47973572	39564688	34913168	50542576	34066700	43706676
100008906	33641508	55324144	52755152	26373554	32928482	38844860	44327524	33609872	37529696	35983360	28883658	24373680	43867480	39819980	40430312	34245060	55932068	41503328	51049920	39868028	35844388	34075760	39448916	45026772	57552016	42382664	45733032	37850580	42868724	46777112
100000657	534646016	580814400	580729920	311498208	417938176	460581664	561859008	452942848	454537248	463660416	441914304	403538720	438457184	446535328	493474656	355773504	505692256	476152544	597706048	476681536	464816256	470358560	597767040	508398112	601140928	445502624	518311968	517519392	474467008	548462080
100009204	9650633	13266357	10394548	6705487	9236967	13264029	13359618	9387441	11257429	9440262	6420540	7425047	9226275	9668142	10513481	6511764	11782014	8976608	10353166	9289452	6645937	6258656	8090471	12412907	13668576	11028730	10855769	10660076	11699450	11619413
100000652	555469	830129	134315	0	193121	181162	744654	388457	609765	655300	178629	104701	152392	200560	99019	0	289606	157572	150682	77910	0	0	140282	386758	207527	192463	177769	858981	282318	190074
100009169	0	283664	202675	105504	207753	143057	204402	0	0	96361	163958	0	157278	152302	124860	79428	217516	0	82802	77942	157239	164322	171390	221388	183164	186927	146278	145155	234457	122194
100000580	138038864	114386176	90684864	96973408	83473896	89799080	111698640	96375920	101590184	112446360	90151144	70324608	100546016	95162656	113734392	90899600	98570240	88401944	104743528	97053224	78364544	91535144	97015016	75859840	64498924	66785148	67116864	66632656	94122288	65898032
100005372	457445	659491	473885	346142	409039	348487	667933	398615	590945	439408	396423	411563	494881	374559	415294	420924	865263	353133	823386	422786	617056	414468	404284	546500	505639	541449	375187	639866	499719	504246
100009002	33277690	39052648	39206660	19721442	28329368	30960412	34256424	26618510	25963314	26144438	26928548	22080156	31899078	26211144	25890376	27137096	33419744	26507572	42825780	29161972	34173452	34169532	35611488	30491966	31436708	26122084	27569726	30116960	31459556	28710332
100009009	2829161	2859213	2526466	2433586	2086828	1774175	3116411	1982036	2155834	3053638	2328253	1699379	2381708	1969482	2229361	2175439	2611019	1896126	1343865	1446552	1673788	1869192	1827272	1752537	2357261	2235092	2737136	1769484	1986442	1798106
100009069	1871610	2928827	1724235	1201279	1623132	1777188	2902784	2173570	2318534	2566050	1603298	1173090	2344773	2007468	1506978	1633144	2422369	1671453	2161737	1507996	1606006	1859719	1967194	1699279	1420990	1649423	1792749	1427262	1768761	1401422
100009007	3374073	5216325	4342326	2676937	3158314	2931013	3842850	2868043	3327376	3309581	3829024	2301781	4300667	3454567	3417628	2857057	4209004	3065386	3757131	3184417	2861295	3456996	4286345	3538861	3929099	3394685	3681549	3684488	3413077	3461274
100009005	28426056	39186132	40224608	24370240	32976852	30073536	37465996	28472460	31116412	31395896	29682586	23028598	36579992	31765564	29162008	25417836	40669028	32006412	40093932	30846424	27009106	28329852	33957728	36202788	40720792	32771756	35081352	34484848	39035352	35381704
100009162	8532805	13880479	10291021	5629846	7625231	7196306	10112271	7179294	9039674	9056119	8226652	5211889	10502782	7997038	8072907	6386014	9532611	7264660	9306718	7316009	6195834	7219803	9705801	9835316	9748938	8292530	9107063	13081786	8470732	8788971
100002875	1047900	868967	714695	460036	519199	396843	606739	481574	684443	820218	655259	556565	605836	520177	482131	569750	957496	491450	728542	429884	398517	0	552627	783410	768344	604903	725143	711930	621533	561776
100003000	1284866	1477464	1186981	666577	728950	869919	1339160	751753	1048025	871171	793120	772504	1114703	849630	690800	931748	1686608	741980	1978189	835514	988579	911707	1184887	1203630	946381	952966	883593	1493283	1026275	1004890
100008999	42978168	56255824	46606560	21940870	29623834	37652276	41799988	33132036	32526624	31957120	33452618	23036428	37309432	30269500	30090996	38385436	53689056	35755056	61344264	32460704	43901928	42264660	44806712	36809908	41121604	35429496	37534028	34754948	35524384	33736688
