ChemicalID	C2_3_CO_P	C3_5_CO_P	C3_6_CO_P	C3_7_CO_P	C4_8_CO_P	C4_9_CO_P	R1_12_CO_P	R1_13_CO_P	R1_14_CO_P	R1_15_CO_P	R2_16_CO_P	R2_17_CO_P	R2_18_CO_P	R3_19_CO_P	R3_20_CO_P	R3_21_CO_P	R4_22_CO_P	R5_23_CO_P	R6_28_CO_P	R6_29_CO_P	R6_31_CO_P	FR_2_CO_P	FR_3_CO_P	FR_4_CO_P	FR_5_CO_P	FR_6_CO_P	FR_7_CO_P	FR_8_CO_P	FR_9_CO_P	FR_10_CO_P	FR_11_CO_P	FR_12_CO_P	FR_13_CO_P	FR_15_CO_P	FR_16_CO_P	FR_17_CO_P	C2_3_CO_D	C3_5_CO_D	C3_6_CO_D	C3_7_CO_D	C4_8_CO_D	C4_9_CO_D	R1_12_CO_D	R1_13_CO_D	R1_14_CO_D	R1_15_CO_D	R2_16_CO_D	R2_17_CO_D	R2_18_CO_D	R3_19_CO_D	R3_20_CO_D	R3_21_CO_D	R4_22_CO_D	R5_23_CO_D	R6_28_CO_D	R6_29_CO_D	R6_31_CO_D	FR_2_CO_D	FR_3_CO_D	FR_4_CO_D	FR_5_CO_D	FR_6_CO_D	FR_7_CO_D	FR_8_CO_D	FR_9_CO_D	FR_10_CO_D	FR_11_CO_D	FR_12_CO_D	FR_13_CO_D	FR_15_CO_D	FR_16_CO_D	FR_17_CO_D
100002356	1182546	573275	729748	649182	1150686	900360	768139	525501	731377	780814	608150	838523	1358269	1535287	1566685	771602	1112990	1188969	0	1383125	1144465	589646	538536	557338	907359	1103579	631052	1045361	722652	882627	588251	528533	814095	1240182	606174	1041840	1073216	517758	585971	781308	836557	913025	642509	288642	1250541	555469	919391	538900	673730	702189	848882	839004	734654	804631	965770	1049732	714391	507165	505583	485423	726840	530861	765368	669647	784517	490278	773083	583542	714540	1256841	477133	1492442
100020723	40473	68954	53635	0	37931	105969	28137	47812	38145	28199	48985	43654	151151	74189	53860	91141	56020	32359	19746	28801	94722	145039	52109	0	34501	153257	56643	34505	83480	91598	102090	26794	159918	85528	0	0	17827	0	0	23974	0	34653	0	0	0	0	23839	0	0	0	24978	0	0	0	0	0	16711	0	0	0	0	0	0	0	44207	0	0	0	27069	0	0	0
100009060	129454	190479	215196	150051	146332	279972	183184	237813	210111	67321	154413	80344	538061	206017	143340	244797	163310	77105	54785	80944	197641	513571	108275	0	98075	417345	99184	74916	179496	234211	327770	63733	281912	232595	0	0	0	85083	0	144806	0	65972	0	0	17828	0	69118	24100	0	0	30220	0	0	0	0	41899	28799	0	0	0	0	0	0	0	92350	0	24304	0	38094	0	0	0
100009064	0	20496	0	38355	0	32768	0	17320	55620	0	0	0	47259	0	16078	21520	16434	0	0	0	58584	226467	36290	0	0	46337	0	0	22928	15690	37257	0	33801	30134	0	0	0	0	0	22411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100020729	0	23725	0	67848	19310	23786	14772	15291	91867	0	0	0	40359	0	29209	27752	24528	0	0	0	54767	201688	48813	0	0	58400	0	0	37534	0	26913	0	31647	26603	0	0	0	0	0	34358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009058	18218	20066	25008	55438	28848	43456	17633	33294	58100	0	0	0	79037	32532	0	43941	0	0	0	0	36000	194663	30344	0	0	71458	0	0	28679	0	44329	0	38215	29875	0	0	0	0	0	25449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100016038	460295	613414	840679	589388	640829	378875	259276	321545	332854	256347	360144	451878	556762	816316	685329	647252	351914	1217981	914313	501215	384885	899133	1674262	209001	394276	678277	646940	1516271	493833	366360	602039	121035	203049	294697	131344	341073	215872	831028	346493	234039	259280	248526	317292	187238	759101	99510	282075	189072	143718	245308	89911	194342	142589	504036	509123	1532459	203390	221972	256648	140762	269204	358209	317561	297880	321494	172131	202561	102217	89723	89314	46334	276013
100003926	1524791	12182316	3888979	1829334	2209806	3463258	1674519	1673559	1238357	1502310	1121145	3748871	4178503	1187924	3072056	2220338	2101523	1354158	7100189	1520296	1700454	1701414	12030522	1931066	1658023	4490601	1978945	13983019	2334023	1428413	4792652	1191358	3521243	3740004	1554417	1945634	713421	14028692	1433643	916602	3250551	2159824	1647478	214560	879353	585352	1953974	1067964	734931	792765	397006	1640323	663512	1325913	11703465	1789505	1179350	1337032	3316396	3287927	1361848	1131493	1916040	1876790	1937767	1543815	2792314	1333932	2514907	1340842	245761	782943
100009271	12715837	31023122	25684114	12325261	14023180	16660585	16367727	14975709	9952309	16378999	12948422	29732032	31277130	10426009	28093524	20277632	16849702	13520569	11336649	18162954	13195600	10823192	17323672	9239206	15570457	29028292	9314758	37689012	16807740	13252824	25177198	10997398	17475314	20817124	7914606	8371339	5543328	13027802	4012050	4869414	11123817	5764267	6634392	1454286	4760079	5829620	10211489	5819464	4742100	6123805	2390197	9325582	2588993	9158905	7948236	8593586	12930797	6952383	8551253	5989483	4774757	5330467	8027878	6509970	6786465	7125642	6418178	7899548	5867007	5701882	3301360	5154040
100010839	9267769	8512691	9653815	9441192	10859926	13214531	7315911	9788456	8636309	10100587	7620748	7093550	6300496	8612182	9610186	9576921	9363119	10977207	9352639	6502629	11707995	7087053	5853225	69073	11534428	11320080	15046809	10182915	15680240	12354954	5772610	11912271	6054665	9263055	0	9909412	12028307	17848160	12350470	7439276	21219812	18946274	19389552	3569195	9629548	12216435	18596812	13625236	15191916	17050062	15509038	20940942	13747706	19293524	24952854	19366170	30297340	6956490	877193	12920034	14057204	31507244	22087488	17172248	18360068	28010200	8952746	12647816	13818556	12129325	77388	12323777
