ChemicalID	C2_3_M	C3_5_M	C3_6_P	C3_7_P	C4_8_M	C4_9_M	C5_25_M	C5_26_M	R1_12_M	R1_13_M	R1_14_M	R1_15_M	R2_16_M	R2_17_M	R2_18_P	R3_19_P	R3_20_P	R3_21_P	R3_22_P	R5_23_P	R6_28_M	R6_29_M	R6_31_M	FR_2_P	FR_3_M	FR_4_M	FR_5_M	FR_6_M	FR_7_M	FR_8_M	FR_9_M	FR_10_P	FR_11_P	FR_12_P	FR_13_P	FR_15_P	FR_16_P	FR_17_M
100002945	4566553	4927491	5641742	6240339	4380322	14322349	23320968	6730010	6582899	6425812	7102909	6487731	6655531	4611285	6152504	8581837	10944019	8488605	6357152	7648607	12736958	4367097	0	9870741	9168318	4422394	4622794	7394351	5675455	7170740	5749743	6656961	7515828	6314091	7131656	8372505	7786193	5815047
100002356	686812	836465	1714148	1200330	681301	3827048	5119978	993263	817198	945121	1153170	727041	997536	737207	1585972	1880586	3549710	2438193	1648130	2078976	2972609	653627	2795998	3321410	2108820	893075	661842	1934793	996774	1162603	1034091	1871457	1873277	1533799	2144209	2186121	2040928	565776
100020519	3354145	632960	1324661	1187332	595575	602521	681522	1077840	1034990	1646422	844365	832635	783773	709438	2087758	3230856	1143394	2032385	1980757	527133	2385674	285424	291157	1337568	3137902	217484	93797	198289	58215	393045	0	47714	353033	112174	133801	117668	96715	63818
100020723	0	23978	167016	111013	36032	230727	0	54763	46430	0	0	0	0	53060	0	24784	31839	0	0	0	0	0	34744	74190	135691	0	0	0	0	0	60381	135170	0	47613	0	27363	59492	0
100009060	27698	121351	225018	265530	152072	2766859	0	314050	1310208	0	0	84240	61417	670680	0	0	0	0	0	0	292598	0	0	213526	1281042	0	0	52193	0	185327	188743	110840	0	0	0	0	167000	0
100009064	0	0	174348	91567	0	218401	0	0	63539	0	0	0	0	70250	0	0	0	0	0	0	0	0	0	43022	165675	0	0	0	0	0	0	61473	0	0	0	0	85615	0
100009056	0	75072	102838	139281	81925	339809	0	85603	104123	0	0	0	34076	66593	0	0	0	0	0	0	0	0	0	109566	192332	0	0	0	0	0	0	54506	0	0	0	0	81141	0
100016038	307516	1374410	424795	2778854	667097	1857821	925968	1610046	703204	387887	487018	633625	550363	666482	443809	1973326	76261	154692	136153	345533	11550898	911774	0	373540	4646690	89384	1546479	635135	46237	2339868	264584	312358	622072	143071	923793	1863080	1502048	203297
100003926	2701692	43663376	4660336	3861301	9524005	9289839	25973478	5664658	3762630	2887638	3647265	3964750	4153316	4155642	4828400	2427302	3011498	5864636	2174102	3352156	29616264	2764350	1719915	4050085	54931884	1811913	1701039	3470850	2277898	8223004	2563287	1829210	14378027	2878223	9499926	3362220	2766806	1081570
100009271	5268345	28801960	2877103	3351402	8481887	13483422	21408400	9621713	7561222	4126202	6783326	5924658	6850561	5141861	4471702	3470534	4255309	3528136	2991509	4524348	32419106	4789546	2443147	5487119	51617796	2926956	4281804	5437580	2814763	13378804	6090351	2661465	5246987	3923275	2884783	3965558	3472379	3045945
100010839	893574	1281250	290042	37521	1414294	3461428	957840	2019079	2693694	20930096	5588155	1197351	5941827	1176340	271743	199700	550494	479236	352572	356605	444474	6615778	380382	485801	1602489	26444588	12442191	5548921	406495	439054	1389562	257444	410235	255153	203902	308545	294206	415987
100005372	2210280	3520347	341342	291317	2746316	2775115	461629	4394722	5426285	4151052	4215804	3605237	3874200	2422115	382925	309160	372713	671726	330493	351764	424314	4363288	772259	435355	1662761	7962625	5230695	3508481	2958713	2933452	2581085	389955	415005	249532	293294	604608	366071	1555779
