SampleID	NumberID	Cohort	CohortLab	DietGroup	DietGroupLab	Type	TypeLab	Diet.Type	Sex	SexLab	Diet.Sex	Mouse	Project	MTB_Metabolon_source_file_name	MTB_SAMPLENAME	MTB_CLIENTIDENTIFIER	MTB_PARENTSAMPLEID	MTB_SAMPLENUMBER	MTB_GROUP	MTB_GROUPNUMBER	MTB_GROUPNAME2	MTB_TREATMENT	MTB_COLLECTIONSITE	MTB_COLONLOCATION	MTB_COMMENT	MTB_DIET	MTB_GENDER	MTB_INOCULUM	MTB_NORMALIZATION	MTB_NORMALIZE	MTB_VOLUMEEXTRACTEDUL	MTB_MASSEXTRACTED	MTB_RUNDAY	MTB_SAMPLEAMOUNT	MTB_SAMPLINGSITE	MTB_SUBJECTORANIMALID	MTB_TIMEPOINT	MTB_TXXDIET
CC1_Meta_CO_P	1	healthy	H	Control	C	colon_Proximal	P	C.P	unknown	u	u	CC1 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01020	CC1 Meta CO_P	4652100	1	Cancer free Control diet	1	not_applicable	NONE	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	CC1 	END OF STUDY	NONE_Control
CC2_Meta_CO_P	2	healthy	H	Control	C	colon_Proximal	P	C.P	unknown	u	u	CC2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01021	CC2 Meta CO_P	4652101	2	Cancer free Control diet	1	not_applicable	NONE	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	CC2	END OF STUDY	NONE_Control
CC3_Meta_CO_P	3	healthy	H	Control	C	colon_Proximal	P	C.P	unknown	u	u	CC3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01022	CC3 Meta CO_P	4652102	3	Cancer free Control diet	1	not_applicable	NONE	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	1	CC3	END OF STUDY	NONE_Control
CCI_Meta_CO_D	4	healthy	H	Control	C	colon_Distal	D	C.D	unknown	u	u	CC1 	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01023	CCI Meta CO_D	4652103	4	Cancer free Control diet	2	not_applicable	NONE	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	0.9167	not_applicable	5.5	1	greater than 200mgs	2	CC1 	END OF STUDY	NONE_Control
CC2_Meta_CO_D	5	healthy	H	Control	C	colon_Distal	D	C.D	unknown	u	u	CC2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01024	CC2 Meta CO_D	4652104	5	Cancer free Control diet	2	not_applicable	NONE	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	CC2	END OF STUDY	NONE_Control
CC3_Meta_CO_D	6	healthy	H	Control	C	colon_Distal	D	C.D	unknown	u	u	CC3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01025	CC3 Meta CO_D	4652105	6	Cancer free Control diet	2	not_applicable	NONE	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	0.5833	not_applicable	3.5	1	greater than 200mgs	2	CC3	END OF STUDY	NONE_Control
CRB3_Meta_CO_P	7	healthy	H	Rice_bran	R	colon_Proximal	P	R.P	unknown	u	u	CRB3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01027	CRB3 Meta CO_P	4652107	8	Cancer free Rice Bran diet	3	not_applicable	NONE	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	CRB3	END OF STUDY	NONE_RiceBran
CRB2_Meta_CO_D	8	healthy	H	Rice_bran	R	colon_Distal	D	R.D	unknown	u	u	CRB2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01028	CRB2 Meta CO_D	4652108	9	Cancer free Rice Bran diet	4	not_applicable	NONE	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	1	greater than 200mgs	2	CRB2	END OF STUDY	NONE_RiceBran
CRB3_Meta_CO_D	9	healthy	H	Rice_bran	R	colon_Distal	D	R.D	unknown	u	u	CRB3	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01029	CRB3 Meta CO_D	4652109	10	Cancer free Rice Bran  diet	4	not_applicable	NONE	Distal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	2	CRB3	END OF STUDY	NONE_RiceBran
CFRB2_Meta_CO_P	10	healthy	H	Fermented_rice_bran	F	colon_Proximal	P	F.P	unknown	u	u	CFRB2	NIH_UCD-CSU Mouse_2016-2020_ConventionalMice	COSU-0105-17VWBL+ Client Data Tables and Stats Colon 12-19-17.xlsx	COSU-01030	CFRB2 Meta CO_P	4652110	11	Cancer free Fermented Rice Bran diet	5	not_applicable	NONE	Proximal	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	1	not_applicable	6	2	greater than 200mgs	1	CFRB2	END OF STUDY	NONE_F_RiceBran
