"info"	"value"	"object"	"script"	"section"	"heading"
"Number of samples"	"273"	"A.EBTKS_abs_raw"	"Script02"	"Section A - STEP 2"	"create master table (EBTKS)"
"Number of features"	"3536"	"A.EBTKS_abs_raw"	"Script02"	"Section A - STEP 2"	"create master table (EBTKS)"
"Total frequency"	"7839387"	"A.EBTKS_abs_raw"	"Script02"	"Section A - STEP 2"	"create master table (EBTKS)"
"Number of features considered 'contaminants'"	"41"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"Total frequency of 'contaminants'"	"7359"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"Number of samples 'contaminants' observed in"	"71"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"1_HTH_CT_1_COP: Total frequency of 'contaminants'"	"1"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"100_AOM_RB_2_CEM: Total frequency of 'contaminants'"	"3"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"106_AOM_RB_9_CEM: Total frequency of 'contaminants'"	"9"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"117_AOM_RB_20_CEM: Total frequency of 'contaminants'"	"21"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"121_AOM_FR_5_COP: Total frequency of 'contaminants'"	"26"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"131_AOM_FR_2_COD: Total frequency of 'contaminants'"	"37"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"132_AOM_FR_4_COD: Total frequency of 'contaminants'"	"38"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"133_AOM_FR_5_COD: Total frequency of 'contaminants'"	"39"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"138_AOM_FR_11_COD: Total frequency of 'contaminants'"	"44"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"139_AOM_FR_12_COD: Total frequency of 'contaminants'"	"45"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"14_HTH_RB_2_COD: Total frequency of 'contaminants'"	"46"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"140_AOM_FR_13_COD: Total frequency of 'contaminants'"	"47"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"141_AOM_FR_14_COD: Total frequency of 'contaminants'"	"48"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
"148_AOM_FR_6_CEM: Total frequency of 'contaminants'"	"55"	"A.ctm_abs"	"Script02"	"Section A - STEP 3a"	"process EBTKS: remove 'contaminants'"
