	chao1
1_HTH_CT_1_COP	239.0
10_HTH_CT_4_CEM	163.0
100_AOM_RB_2_CEM	252.0
101_AOM_RB_3_CEM	257.0
102_AOM_RB_4_CEM	265.0
103_AOM_RB_5_CEM	279.0
104_AOM_RB_7_CEM	257.0
105_AOM_RB_8_CEM	283.0
106_AOM_RB_9_CEM	258.0
107_AOM_RB_10_CEM	237.0
108_AOM_RB_11_CEM	202.0
109_AOM_RB_12_CEM	233.0
11_HTH_CT_5_CEM	242.0
110_AOM_RB_13_CEM	259.0
111_AOM_RB_14_CEM	233.0
112_AOM_RB_15_CEM	257.0
113_AOM_RB_16_CEM	225.0
114_AOM_RB_17_CEM	255.0
115_AOM_RB_18_CEM	276.0
116_AOM_RB_19_CEM	274.0
117_AOM_RB_20_CEM	282.0
118_AOM_FR_2_COP	282.0
119_AOM_FR_3_COP	1.0
12_HTH_RB_2_COP	232.0
120_AOM_FR_4_COP	246.0
121_AOM_FR_5_COP	228.0
122_AOM_FR_6_COP	235.0
123_AOM_FR_7_COP	315.0
124_AOM_FR_9_COP	238.0
125_AOM_FR_10_COP	240.0
126_AOM_FR_11_COP	184.0
127_AOM_FR_12_COP	218.0
128_AOM_FR_13_COP	269.0
129_AOM_FR_14_COP	269.0
13_HTH_RB_3_COP	229.0
130_AOM_FR_15_COP	201.0
131_AOM_FR_2_COD	207.0
132_AOM_FR_4_COD	272.0
133_AOM_FR_5_COD	276.0
134_AOM_FR_6_COD	240.0
135_AOM_FR_7_COD	1.0
136_AOM_FR_9_COD	336.0
137_AOM_FR_10_COD	295.0
138_AOM_FR_11_COD	210.0
139_AOM_FR_12_COD	238.0
14_HTH_RB_2_COD	266.0
140_AOM_FR_13_COD	205.0
141_AOM_FR_14_COD	330.0
142_AOM_FR_15_COD	272.0
143_AOM_FR_1_CEM	219.0
144_AOM_FR_2_CEM	218.0
145_AOM_FR_3_CEM	212.0
146_AOM_FR_4_CEM	225.0
147_AOM_FR_5_CEM	261.0
148_AOM_FR_6_CEM	247.0
149_AOM_FR_7_CEM	288.0
15_HTH_RB_3_COD	271.0
150_AOM_FR_8_CEM	264.0
151_AOM_FR_9_CEM	232.0
152_AOM_FR_10_CEM	185.0
153_AOM_FR_11_CEM	344.0
154_AOM_FR_12_CEM	226.0
155_AOM_FR_13_CEM	159.0
156_AOM_FR_14_CEM	214.0
157_AOM_FR_15_CEM	1.0
158_AOM_FR_16_CEM	267.0
159_AOM_FR_17_CEM	274.0
16_HTH_RB_2_CEM	206.0
160_AOM_FR_18_CEM	2.0
161_AOM_FR_19_CEM	208.0
162_AOM_FR_20_CEM	230.0
163_HTH_CT_89_1wk_FEC	312.0
164_HTH_RB_90_1wk_FEC	357.0
165_HTH_FR_91_1wk_FEC	380.0
166_HTH_CT_89_2wk_FEC	279.0
167_HTH_RB_90_2wk_FEC	390.0
168_HTH_FR_91_2wk_FEC	336.0
169_HTH_CT_89_6wk_FEC	279.0
17_HTH_RB_3_CEM	230.0
170_HTH_RB_90_6wk_FEC	351.0
171_HTH_FR_91_6wk_FEC	436.0
172_HTH_CT_89_10wk_FEC	248.0
173_HTH_RB_90_10wk_FEC	289.0
174_HTH_FR_91_10wk_FEC	338.0
175_HTH_CT_89_14wk_FEC	209.0
176_HTH_RB_90_14wk_FEC	246.0
177_HTH_FR_91_14wk_FEC	345.0
178_AOM_CT_77_1wk_FEC	150.0
179_AOM_CT_78_1wk_FEC	161.0
18_HTH_RB_4_CEM	245.0
180_AOM_CT_79_1wk_FEC	84.0
181_AOM_CT_80_1wk_FEC	155.0
182_AOM_CT_77_2wk_FEC	304.0
183_AOM_CT_78_2wk_FEC	261.0
184_AOM_CT_79_2wk_FEC	225.0
185_AOM_CT_80_2wk_FEC	238.0
186_AOM_CT_77_6wk_FEC	306.0
187_AOM_CT_78_6wk_FEC	254.0
188_AOM_CT_79_6wk_FEC	246.0
189_AOM_CT_80_6wk_FEC	219.0
19_HTH_RB_5_CEM	210.0
190_AOM_CT_77_10wk_FEC	270.0
191_AOM_CT_78_10wk_FEC	207.0
192_AOM_CT_79_10wk_FEC	251.0
193_AOM_CT_80_10wk_FEC	185.0
194_AOM_CT_77_14wk_FEC	259.0
195_AOM_CT_78_14wk_FEC	255.0
196_AOM_CT_79_14wk_FEC	249.0
197_AOM_CT_80_14wk_FEC	234.0
198_AOM_RB_81_1wk_FEC	118.0
199_AOM_RB_82_1wk_FEC	150.0
2_HTH_CT_2_COP	228.0
20_HTH_FR_1_COP	356.0
200_AOM_RB_83_1wk_FEC	179.0
201_AOM_RB_84_1wk_FEC	111.0
202_AOM_RB_81_2wk_FEC	254.0
203_AOM_RB_82_2wk_FEC	292.0
204_AOM_RB_83_2wk_FEC	286.0
205_AOM_RB_84_2wk_FEC	241.0
206_AOM_RB_81_6wk_FEC	300.0
