	shannon
1_HTH_CT_1_COP	6.224314024414188
10_HTH_CT_4_CEM	5.006148127497938
100_AOM_RB_2_CEM	6.333984768311612
101_AOM_RB_3_CEM	6.295207483557389
102_AOM_RB_4_CEM	5.902951834066025
103_AOM_RB_5_CEM	5.568184727059209
104_AOM_RB_7_CEM	6.382223819480226
105_AOM_RB_8_CEM	6.139916842624429
106_AOM_RB_9_CEM	6.045456678870902
107_AOM_RB_10_CEM	5.290969154789554
108_AOM_RB_11_CEM	3.911531260408841
109_AOM_RB_12_CEM	6.062695314112195
11_HTH_CT_5_CEM	5.95372653163445
110_AOM_RB_13_CEM	5.47463115896212
111_AOM_RB_14_CEM	5.695380676878384
112_AOM_RB_15_CEM	5.55615549302908
113_AOM_RB_16_CEM	6.100228241346171
114_AOM_RB_17_CEM	5.91197122925786
115_AOM_RB_18_CEM	5.9647379014050035
116_AOM_RB_19_CEM	6.128241437192874
117_AOM_RB_20_CEM	6.128086826667715
118_AOM_FR_2_COP	6.542971373321165
119_AOM_FR_3_COP	-0.0
12_HTH_RB_2_COP	6.36547483693774
120_AOM_FR_4_COP	5.929803412361156
121_AOM_FR_5_COP	6.046366875196088
122_AOM_FR_6_COP	5.852329490015191
123_AOM_FR_7_COP	6.747195624318048
124_AOM_FR_9_COP	6.459551028612781
125_AOM_FR_10_COP	6.4883384435160405
126_AOM_FR_11_COP	6.152650958976943
127_AOM_FR_12_COP	6.478895360641533
128_AOM_FR_13_COP	6.042805758990679
129_AOM_FR_14_COP	6.26426389176234
13_HTH_RB_3_COP	6.538941805345622
130_AOM_FR_15_COP	5.700997191096728
131_AOM_FR_2_COD	6.571185859902169
132_AOM_FR_4_COD	6.504495315083732
133_AOM_FR_5_COD	6.532845513359223
134_AOM_FR_6_COD	6.486654294858528
135_AOM_FR_7_COD	-0.0
136_AOM_FR_9_COD	6.462662098535069
137_AOM_FR_10_COD	6.547087059578885
138_AOM_FR_11_COD	6.33301491288433
139_AOM_FR_12_COD	6.450976964811941
14_HTH_RB_2_COD	6.117593776910887
140_AOM_FR_13_COD	5.792850401752507
141_AOM_FR_14_COD	6.84165950547032
142_AOM_FR_15_COD	6.545767306124185
143_AOM_FR_1_CEM	5.794986454890911
144_AOM_FR_2_CEM	5.988054604846966
145_AOM_FR_3_CEM	6.064223463196591
146_AOM_FR_4_CEM	5.9014430343739095
147_AOM_FR_5_CEM	6.175815950254206
148_AOM_FR_6_CEM	6.251195420033343
149_AOM_FR_7_CEM	6.422677770283588
15_HTH_RB_3_COD	6.85128657016875
150_AOM_FR_8_CEM	6.506112509960558
151_AOM_FR_9_CEM	5.892224347276975
152_AOM_FR_10_CEM	5.319172387386813
153_AOM_FR_11_CEM	6.090835375116499
154_AOM_FR_12_CEM	5.925493068211447
155_AOM_FR_13_CEM	4.619866349564017
156_AOM_FR_14_CEM	5.563484725907004
157_AOM_FR_15_CEM	-0.0
158_AOM_FR_16_CEM	6.55265096454213
159_AOM_FR_17_CEM	6.340461224074505
16_HTH_RB_2_CEM	5.6425021526883725
160_AOM_FR_18_CEM	0.9456603046006401
161_AOM_FR_19_CEM	5.891078054911738
162_AOM_FR_20_CEM	5.633981252403833
163_HTH_CT_89_1wk_FEC	5.960017049925701
164_HTH_RB_90_1wk_FEC	6.699682663903089
165_HTH_FR_91_1wk_FEC	6.918883485193868
166_HTH_CT_89_2wk_FEC	6.109388729843937
167_HTH_RB_90_2wk_FEC	6.540795602632131
168_HTH_FR_91_2wk_FEC	6.995847889456361
169_HTH_CT_89_6wk_FEC	6.35983368182969
17_HTH_RB_3_CEM	5.824975938566133
170_HTH_RB_90_6wk_FEC	6.708225347855908
171_HTH_FR_91_6wk_FEC	7.232565870056129
172_HTH_CT_89_10wk_FEC	6.443216825600967
173_HTH_RB_90_10wk_FEC	6.216022838830721
174_HTH_FR_91_10wk_FEC	7.088476795517443
175_HTH_CT_89_14wk_FEC	5.767037854662395
176_HTH_RB_90_14wk_FEC	5.714964078614788
177_HTH_FR_91_14wk_FEC	6.684074774902966
