"metric"	"category"	"Comparison"	"Test"	"P"	"sig_P"	"BH_P"	"sig_BH_P"
"chao1"	"between"	"F.D vs C.D"	"Dunn's Test"	0.00039	"***"	"0.00157"	"**"
"chao1"	"between"	"F.E vs C.E"	"Dunn's Test"	2e-05	"****"	"0.00013"	"***"
"chao1"	"between"	"F.P vs C.P"	"Dunn's Test"	0.00024	"***"	"0.00108"	"**"
"chao1"	"between"	"R.D vs C.D"	"Dunn's Test"	0.03213	"*"	"0.06804"	" "
"chao1"	"between"	"R.D vs F.D"	"Dunn's Test"	0.21545	" "	"0.32317"	" "
"chao1"	"between"	"R.E vs C.E"	"Dunn's Test"	0	"****"	"0"	"****"
"chao1"	"between"	"R.E vs F.E"	"Dunn's Test"	0.12184	" "	"0.19937"	" "
"chao1"	"between"	"R.P vs C.P"	"Dunn's Test"	0.01206	"*"	"0.02714"	"*"
"chao1"	"between"	"R.P vs F.P"	"Dunn's Test"	0.31512	" "	"0.43633"	" "
"chao1"	"extra"	"F.D vs C.E"	"Dunn's Test"	0	"****"	"1e-05"	"****"
"chao1"	"extra"	"F.D vs C.P"	"Dunn's Test"	3e-05	"****"	"0.00014"	"***"
"chao1"	"extra"	"F.E vs C.D"	"Dunn's Test"	0.00574	"**"	"0.01473"	"*"
"chao1"	"extra"	"F.E vs C.P"	"Dunn's Test"	0.00047	"***"	"0.00169"	"**"
"chao1"	"extra"	"F.P vs C.D"	"Dunn's Test"	0.00259	"**"	"0.00718"	"**"
"chao1"	"extra"	"F.P vs C.E"	"Dunn's Test"	1e-05	"****"	"0.00011"	"***"
"chao1"	"extra"	"R.D vs C.E"	"Dunn's Test"	0.00073	"***"	"0.0024"	"**"
"chao1"	"extra"	"R.D vs C.P"	"Dunn's Test"	0.00614	"**"	"0.01473"	"*"
"chao1"	"extra"	"R.D vs F.E"	"Dunn's Test"	0.80534	" "	"0.82835"	" "
"chao1"	"extra"	"R.D vs F.P"	"Dunn's Test"	0.48668	" "	"0.62573"	" "
"chao1"	"extra"	"R.E vs C.D"	"Dunn's Test"	2e-05	"****"	"0.00013"	"***"
"chao1"	"extra"	"R.E vs C.P"	"Dunn's Test"	0	"****"	"1e-05"	"****"
"chao1"	"extra"	"R.E vs F.D"	"Dunn's Test"	0.86413	" "	"0.86413"	" "
"chao1"	"extra"	"R.E vs F.P"	"Dunn's Test"	0.4032	" "	"0.5376"	" "
"chao1"	"extra"	"R.P vs C.D"	"Dunn's Test"	0.05737	" "	"0.1087"	" "
"chao1"	"extra"	"R.P vs C.E"	"Dunn's Test"	0.00156	"**"	"0.00469"	"**"
"chao1"	"extra"	"R.P vs F.D"	"Dunn's Test"	0.12014	" "	"0.19937"	" "
"chao1"	"extra"	"R.P vs F.E"	"Dunn's Test"	0.56773	" "	"0.6387"	" "
"chao1"	"within"	"C.E vs C.D"	"Dunn's Test"	0.21217	" "	"0.32317"	" "
"chao1"	"within"	"C.P vs C.D"	"Dunn's Test"	0.55234	" "	"0.6387"	" "
"chao1"	"within"	"C.P vs C.E"	"Dunn's Test"	0.50862	" "	"0.63139"	" "
"chao1"	"within"	"F.E vs F.D"	"Dunn's Test"	0.24594	" "	"0.35416"	" "
"chao1"	"within"	"F.P vs F.D"	"Dunn's Test"	0.55982	" "	"0.6387"	" "
"chao1"	"within"	"F.P vs F.E"	"Dunn's Test"	0.59032	" "	"0.64399"	" "
"chao1"	"within"	"R.E vs R.D"	"Dunn's Test"	0.12083	" "	"0.19937"	" "
"chao1"	"within"	"R.P vs R.D"	"Dunn's Test"	0.78099	" "	"0.82693"	" "
"chao1"	"within"	"R.P vs R.E"	"Dunn's Test"	0.05482	" "	"0.1087"	" "
"chao1"	"extra"	"global"	"Kruskal-Wallis"	0	"****"	"-"	"-"
"chao1"	"between"	"F.D vs C.D"	"Wilcoxon"	0.00062	"***"	"0.00203"	"**"
"chao1"	"between"	"F.E vs C.E"	"Wilcoxon"	1e-05	"****"	"0.00013"	"***"
"chao1"	"between"	"F.P vs C.P"	"Wilcoxon"	0.00027	"***"	"0.00112"	"**"
"chao1"	"between"	"R.D vs C.D"	"Wilcoxon"	0.03024	"*"	"0.05729"	" "
"chao1"	"between"	"R.D vs F.D"	"Wilcoxon"	0.24512	" "	"0.3394"	" "
