"metric"	"category"	"Comparison"	"Test"	"R2"	"P"	"sig_P"	"BH_P"	"sig_BH_P"
"generalized UniFrac"	"between"	"C.E vs R.E"	"PERMANOVA (adonis)"	0.1448	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"between"	"C.E vs F.E"	"PERMANOVA (adonis)"	0.1501	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"between"	"R.E vs F.E"	"PERMANOVA (adonis)"	0.0692	2e-04	"***"	3e-04	"***"
"generalized UniFrac"	"between"	"C.P vs R.P"	"PERMANOVA (adonis)"	0.0733	0.0086	"**"	0.01	"**"
"generalized UniFrac"	"between"	"C.P vs F.P"	"PERMANOVA (adonis)"	0.0972	2e-04	"***"	3e-04	"***"
"generalized UniFrac"	"between"	"R.P vs F.P"	"PERMANOVA (adonis)"	0.0665	0.0855	" "	0.0905	" "
"generalized UniFrac"	"between"	"C.D vs R.D"	"PERMANOVA (adonis)"	0.0654	0.1182	" "	0.1216	" "
"generalized UniFrac"	"between"	"C.D vs F.D"	"PERMANOVA (adonis)"	0.0898	0.0474	"*"	0.0533	" "
"generalized UniFrac"	"between"	"R.D vs F.D"	"PERMANOVA (adonis)"	0.0479	0.4027	" "	0.4027	" "
"generalized UniFrac"	"within"	"C.P vs C.E"	"PERMANOVA (adonis)"	0.1108	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"C.D vs C.E"	"PERMANOVA (adonis)"	0.136	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"C.P vs C.D"	"PERMANOVA (adonis)"	0.0596	0.0651	" "	0.071	" "
"generalized UniFrac"	"within"	"R.P vs R.E"	"PERMANOVA (adonis)"	0.1508	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"R.D vs R.E"	"PERMANOVA (adonis)"	0.1898	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"R.P vs R.D"	"PERMANOVA (adonis)"	0.1601	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"F.P vs F.E"	"PERMANOVA (adonis)"	0.1724	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"F.D vs F.E"	"PERMANOVA (adonis)"	0.1915	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"within"	"F.P vs F.D"	"PERMANOVA (adonis)"	0.1603	0.0014	"**"	0.0018	"**"
"generalized UniFrac"	"extra"	"C.P vs R.D"	"PERMANOVA (adonis)"	0.1164	0.0056	"**"	0.0067	"**"
"generalized UniFrac"	"extra"	"C.P vs R.E"	"PERMANOVA (adonis)"	0.1801	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.P vs F.D"	"PERMANOVA (adonis)"	0.1498	0.0025	"**"	0.0031	"**"
"generalized UniFrac"	"extra"	"C.P vs F.E"	"PERMANOVA (adonis)"	0.1979	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.D vs R.P"	"PERMANOVA (adonis)"	0.1363	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.D vs R.E"	"PERMANOVA (adonis)"	0.2036	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.D vs F.P"	"PERMANOVA (adonis)"	0.1554	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.D vs F.E"	"PERMANOVA (adonis)"	0.214	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.E vs R.P"	"PERMANOVA (adonis)"	0.163	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.E vs R.D"	"PERMANOVA (adonis)"	0.1974	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.E vs F.P"	"PERMANOVA (adonis)"	0.2073	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"C.E vs F.D"	"PERMANOVA (adonis)"	0.2294	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"R.P vs F.D"	"PERMANOVA (adonis)"	0.1855	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"R.P vs F.E"	"PERMANOVA (adonis)"	0.198	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"R.D vs F.P"	"PERMANOVA (adonis)"	0.1669	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"R.D vs F.E"	"PERMANOVA (adonis)"	0.2101	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"R.E vs F.P"	"PERMANOVA (adonis)"	0.1689	1e-04	"****"	1e-04	"****"
"generalized UniFrac"	"extra"	"R.E vs F.D"	"PERMANOVA (adonis)"	0.2019	1e-04	"****"	1e-04	"****"
"unweighted UniFrac"	"between"	"C.E vs R.E"	"PERMANOVA (adonis)"	0.2658	1e-04	"****"	4e-04	"***"
"unweighted UniFrac"	"between"	"C.E vs F.E"	"PERMANOVA (adonis)"	0.1372	7e-04	"***"	0.0013	"**"
"unweighted UniFrac"	"between"	"R.E vs F.E"	"PERMANOVA (adonis)"	0.1357	0.0014	"**"	0.0023	"**"
"unweighted UniFrac"	"between"	"C.P vs R.P"	"PERMANOVA (adonis)"	0.0707	0.0935	" "	0.102	" "
"unweighted UniFrac"	"between"	"C.P vs F.P"	"PERMANOVA (adonis)"	0.0896	0.0131	"*"	0.0157	"*"
"unweighted UniFrac"	"between"	"R.P vs F.P"	"PERMANOVA (adonis)"	0.0566	0.2296	" "	0.2362	" "
"unweighted UniFrac"	"between"	"C.D vs R.D"	"PERMANOVA (adonis)"	0.0961	0.0227	"*"	0.0255	"*"
"unweighted UniFrac"	"between"	"C.D vs F.D"	"PERMANOVA (adonis)"	0.1209	0.0086	"**"	0.0107	"*"
"unweighted UniFrac"	"between"	"R.D vs F.D"	"PERMANOVA (adonis)"	0.04	0.5243	" "	0.5243	" "
"unweighted UniFrac"	"within"	"C.P vs C.E"	"PERMANOVA (adonis)"	0.1724	6e-04	"***"	0.0013	"**"
"unweighted UniFrac"	"within"	"C.D vs C.E"	"PERMANOVA (adonis)"	0.23	1e-04	"****"	4e-04	"***"
"unweighted UniFrac"	"within"	"C.P vs C.D"	"PERMANOVA (adonis)"	0.0494	0.1486	" "	0.1573	" "
"unweighted UniFrac"	"within"	"R.P vs R.E"	"PERMANOVA (adonis)"	0.0886	0.0149	"*"	0.0173	"*"
"unweighted UniFrac"	"within"	"R.D vs R.E"	"PERMANOVA (adonis)"	0.1677	2e-04	"***"	7e-04	"***"
"unweighted UniFrac"	"within"	"R.P vs R.D"	"PERMANOVA (adonis)"	0.1582	8e-04	"***"	0.0014	"**"
"unweighted UniFrac"	"within"	"F.P vs F.E"	"PERMANOVA (adonis)"	0.172	0.001	"***"	0.0017	"**"
"unweighted UniFrac"	"within"	"F.D vs F.E"	"PERMANOVA (adonis)"	0.172	7e-04	"***"	0.0013	"**"
"unweighted UniFrac"	"within"	"F.P vs F.D"	"PERMANOVA (adonis)"	0.1537	0.0063	"**"	0.0081	"**"
"unweighted UniFrac"	"extra"	"C.P vs R.D"	"PERMANOVA (adonis)"	0.1316	0.0043	"**"	0.0059	"**"
"unweighted UniFrac"	"extra"	"C.P vs R.E"	"PERMANOVA (adonis)"	0.1422	1e-04	"****"	4e-04	"***"
