"metric"	"category"	"Comparison"	"Test"	"R2"	"P"	"sig_P"	"BH_P"	"sig_BH_P"	"CompKey"
"generalized UniFrac"	"between"	"C vs R"	"PERMANOVA (adonis)"	0.0413	0.0306	"*"	0.0459	"*"	"Rice bran versus Control (colon combined)"
"generalized UniFrac"	"between"	"C vs F"	"PERMANOVA (adonis)"	0.068	0.003	"**"	0.009	"**"	"Control versus Fermented rice bran (colon combined)"
"generalized UniFrac"	"between"	"R vs F"	"PERMANOVA (adonis)"	0.032	0.1699	" "	0.1699	" "	"Rice bran versus Fermented rice bran (colon combined)"
"unweighted UniFrac"	"between"	"C vs R"	"PERMANOVA (adonis)"	0.0531	0.006	"**"	0.009	"**"	"Rice bran versus Control (colon combined)"
"unweighted UniFrac"	"between"	"C vs F"	"PERMANOVA (adonis)"	0.072	8e-04	"***"	0.0024	"**"	"Control versus Fermented rice bran (colon combined)"
"unweighted UniFrac"	"between"	"R vs F"	"PERMANOVA (adonis)"	0.0261	0.2986	" "	0.2986	" "	"Rice bran versus Fermented rice bran (colon combined)"
"weighted UniFrac"	"between"	"C vs R"	"PERMANOVA (adonis)"	0.0195	0.3885	" "	0.4204	" "	"Rice bran versus Control (colon combined)"
"weighted UniFrac"	"between"	"C vs F"	"PERMANOVA (adonis)"	0.0427	0.0879	" "	0.2637	" "	"Control versus Fermented rice bran (colon combined)"
"weighted UniFrac"	"between"	"R vs F"	"PERMANOVA (adonis)"	0.02	0.4204	" "	0.4204	" "	"Rice bran versus Fermented rice bran (colon combined)"
"aitchison/euclidean"	"between"	"C vs R"	"PERMANOVA (adonis)"	0.0953	1e-04	"****"	1e-04	"****"	"Rice bran versus Control (colon combined)"
"aitchison/euclidean"	"between"	"C vs F"	"PERMANOVA (adonis)"	0.1454	1e-04	"****"	1e-04	"****"	"Control versus Fermented rice bran (colon combined)"
"aitchison/euclidean"	"between"	"R vs F"	"PERMANOVA (adonis)"	0.0783	1e-04	"****"	1e-04	"****"	"Rice bran versus Fermented rice bran (colon combined)"
"generalized UniFrac"	"between"	"C.E vs R.E"	"PERMANOVA (adonis)"	0.1448	1e-04	"****"	1e-04	"****"	"Control cecum vs Rice bran cecum"
"generalized UniFrac"	"between"	"C.E vs F.E"	"PERMANOVA (adonis)"	0.1501	1e-04	"****"	1e-04	"****"	"Control cecum vs Fermented rice bran cecum"
"generalized UniFrac"	"between"	"R.E vs F.E"	"PERMANOVA (adonis)"	0.0692	2e-04	"***"	3e-04	"***"	"Rice bran cecum vs Fermented rice bran cecum"
"generalized UniFrac"	"between"	"C.P vs R.P"	"PERMANOVA (adonis)"	0.0733	0.0086	"**"	0.01	"**"	"Control proximal colon vs Rice bran proximal colon"
"generalized UniFrac"	"between"	"C.P vs F.P"	"PERMANOVA (adonis)"	0.0972	2e-04	"***"	3e-04	"***"	"Control proximal colon vs Fermented rice bran proximal colon"
"generalized UniFrac"	"between"	"R.P vs F.P"	"PERMANOVA (adonis)"	0.0665	0.0855	" "	0.0905	" "	"Rice bran proximal colon vs Fermented rice bran proximal colon"
"generalized UniFrac"	"between"	"C.D vs R.D"	"PERMANOVA (adonis)"	0.0654	0.1182	" "	0.1216	" "	"Control distal colon vs Rice bran distal colon"
"generalized UniFrac"	"between"	"C.D vs F.D"	"PERMANOVA (adonis)"	0.0898	0.0474	"*"	0.0533	" "	"Control distal colon vs Fermented rice bran distal colon"
"generalized UniFrac"	"between"	"R.D vs F.D"	"PERMANOVA (adonis)"	0.0479	0.4027	" "	0.4027	" "	"Rice bran distal colon vs Fermented rice bran distal colon"
"generalized UniFrac"	"within"	"C.P vs C.E"	"PERMANOVA (adonis)"	0.1108	1e-04	"****"	1e-04	"****"	"Control proximal colon vs Control cecum"
